Titre Événement,Types Événement,Modèle Utilisé,Statut,URL Image Générée,ID Enregistrement Inséré,Message d'Erreur
Bataille de Marathon,"[""Militaire",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Début de la Première Guerre punique,"[""Militaire",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Bataille d'Actium et victoire d'Octave,"[""Militaire",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Destruction de la Bibliothèque d'Alexandrie (première fois),"[""Culturel",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 10 (line 1 column 11)
Appel à la Première Croisade par le pape Urbain II,"[""Religieux",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Fondation de Lübeck et essor de la Hanse,"[""Commercial",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 12 (line 1 column 13)
Apogée de la construction de l'Alhambra de Grenade,"[""Architectural",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 15 (line 1 column 16)
Construction des murs en pierre du Kremlin de Moscou,"[""Architectural",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 15 (line 1 column 16)
Fondation de la banque des Médicis,"[""Économique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 12 (line 1 column 13)
Victoire de Jeanne d'Arc au siège d'Orléans,"[""Militaire",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Maison de la Sagesse à Bagdad,"[""Scientifique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 14 (line 1 column 15)
Première mention du café en Éthiopie,"[""Culturel",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 10 (line 1 column 11)
Conquête normande de l'Italie du Sud,"[""Militaire",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Bataille de la Kalka,"[""Militaire""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_de_la_kalka_a21e56d9.webp,,Unterminated string in JSON at position 9 (line 1 column 10)
Fondation légendaire de Rome,"[""Mythologique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 14 (line 1 column 15)
Début de la Guerre du Péloponnèse,"[""Militaire",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Bataille de Cannes,"[""Militaire""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_de_cannes_4d8fc278.webp,,Unterminated string in JSON at position 10 (line 1 column 11)
Crucifixion de Spartacus et de ses partisans,"[""Militaire",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Assassinat de Jules César,"[""Politique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Élection du premier Doge de Venise,"[""Politique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Couronnement impérial de Charlemagne,"[""Politique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Publication du traité d'algèbre par Al-Khwarizmi,"[""Mathématique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 14 (line 1 column 15)
Fondation de l'université Al-Qarawiyyin à Fès,"[""Éducatif",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 10 (line 1 column 11)
Fondation de l'Université d'Oxford,"[""Éducatif",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 10 (line 1 column 11)
Première utilisation du moulin à vent en Europe,"[""Technologique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 15 (line 1 column 16)
Premier Parlement d'Angleterre avec des représentants des bourgs,"[""Politique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Début de la Papauté d'Avignon,"[""Religieux",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Révolte des Paysans en Angleterre,"[""Social",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 8 (line 1 column 9)
Début des voyages de l'amiral Zheng He,"[""Exploration",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 13 (line 1 column 14)
